food_id,food_name,id,name,"Energy, by calculation,kcal","Total energy - by calculation,kcal","Protein, total,g","Moisture,g","Fat, total,g","Ash,g","Iron,mg","Calcium,mg","Sodium,mg","Carbohydrate, available,g","b-carotene,mcg","Vitamin D (D2+D3),mcg","Magnesium,mg","Niacin,mg","Fatty acids, total monounsaturated,g","Folate, total,mcg","Riboflavin,mg","Copper,mg","Carbohydrate, total,g","Edible portion,%","Potassium,mg","Fatty acids, total omega-3 polyunsaturated,g","Fatty acids, total omega-6 polyunsaturated,g","Retinol,mcg","Alpha-tocopherol,mg","Vitamin B-6, total,mg","Vitamin B-12,mcg","Phosphorus,mg","Vitamin A; retinol activity equivalent,mcg","Fatty acids, total saturated,g","Vitamin C,mg","Cholesterol,mg","Density,g/mL","Fatty acids, total polyunsaturated,g","Thiamin,mg","True protein,g","Selenium,mcg","Dietary fibre,g","Zinc,mg","Sugars, total,g",Source_id
77,ขนมไหว้พระจันทร์,1621,"ขนมไหว้พระจันทร์, ไส้เมล็ดบัว+ไข่",404,NULL,6.71,20,18.24,0.89,1.85,62,64,52.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.9,NULL,28.84,1
77,ขนมไหว้พระจันทร์,1620,"ขนมไหว้พระจันทร์, ไส้เมล็ดบัว",384,NULL,5.76,20.7,14.84,0.69,1.1,45,40,55.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.4,NULL,26.82,1
78,ขนุน,701,"ขนุน, สุก",101,NULL,1.55,73.1,0.42,1.04,0.37,21,26,21.73,26,NULL,19,0.74,NULL,NULL,0.09,0.2,NULL,NULL,386,NULL,NULL,NULL,NULL,NULL,NULL,24,2,NULL,6,NULL,NULL,NULL,0.07,NULL,NULL,2.2,0.15,19.17,1
78,ขนุน,704,"ขนุนหนัง, สุก",81,NULL,1.42,75.4,0.28,3.7,0.21,9,15,17.02,78,NULL,18,0.6,NULL,NULL,0.06,0.22,NULL,NULL,271,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,10,NULL,NULL,NULL,0.08,NULL,1.2,2.2,0.16,21,1
78,ขนุน,702,"ขนุนจำปา, สุก",119,NULL,2.2,63,0.4,6.7,0.12,7,4,25.7,40,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,355,NULL,NULL,NULL,NULL,NULL,NULL,16,3,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,2,0.08,28,1
78,ขนุน,703,"ขนุนละมุด, สุก",NULL,117,1.3,70.3,0.4,0.9,1,20,NULL,NULL,138,NULL,NULL,0.4,NULL,NULL,0.01,NULL,27.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,12,NULL,88,NULL,NULL,NULL,0.1,NULL,NULL,NULL,NULL,NULL,1
79,ขนุนอบกรอบ,1669,"ขนุน, อบกรอบ",413,NULL,6.75,3,11.65,3.95,1.3,67,25,66.15,NULL,NULL,NULL,NULL,NULL,NULL,0.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.53,NULL,NULL,8.5,NULL,51.35,1
711,ข้อไก่ทอด,885,"ไก่, ข้อเข่า, ทอด",323,NULL,40.1,40.1,17.75,1.35,1.95,90,262,0.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
81,ข้าวกล้อง,134,"ข้าวกล้อง, สุก",181,NULL,3.93,55.1,1.46,0.54,0.3,5,31,37.01,NULL,NULL,NULL,3.15,NULL,NULL,0.01,0.05,NULL,NULL,85,NULL,NULL,NULL,NULL,NULL,NULL,149,NULL,NULL,NULL,NULL,NULL,NULL,0.16,NULL,NULL,2,0.8,NULL,1
82,ข้าวขาหมู,1549,ข้าวขาหมู,161,NULL,7.19,65.3,5.93,1.31,0.8,236,324,19.34,NULL,NULL,NULL,1,NULL,NULL,0.21,NULL,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,NULL,NULL,NULL,NULL,NULL,0.08,NULL,NULL,1,NULL,NULL,1
83,ข้าวคลุกกะปิ,2168,ข้าวคลุกกะปิ,206,NULL,9,NULL,7,NULL,NULL,NULL,465,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.4,NULL,1,2
84,ข้าวซอยตัด,1671,ข้าวซอยตัด,506,NULL,6.7,6.4,27.53,0.67,NULL,NULL,112,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,1.7,NULL,18,1
85,ข้าวซอยไก่,1550,ข้าวซอยไก่,151,NULL,5.8,72.9,10.6,1.8,1.2,25,NULL,7.3,46,NULL,NULL,3,NULL,NULL,0.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,4,NULL,NULL,NULL,NULL,NULL,1.13,NULL,NULL,1.6,NULL,NULL,1
88,ข้าวต้มมัด,1672,ข้าวต้มมัด,NULL,217,3.05,49.6,3.75,0.8,NULL,NULL,142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42.8,NULL,183,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.4,1
89,ข้าวต้มมัดญวน,1673,"ข้าวต้มมัดญวน (ไส้ถั่วและหมู)",194,NULL,5.3,55.8,4.15,0.7,0.5,NULL,167,33.6,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.08,NULL,NULL,0.5,NULL,0.5,1
705,ข้าวต้มหมู,1551,ข้าวต้มหมู,65,NULL,4.19,84.1,1.09,1.07,NULL,NULL,226,9.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,135,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
86,ข้าวตัง,1674,"ข้าวตัง, หน้าต่างๆ",517,NULL,7.48,3.1,27.75,2,1.65,86,436,58.85,NULL,NULL,NULL,NULL,NULL,NULL,0.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.04,NULL,NULL,0.9,NULL,20.73,1
92,ข้าวผัด,1552,"ข้าวผัดทั่วไป, ไม่ระบุ",160,NULL,4.56,63.7,4.14,1.5,0.48,15,335,24.26,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.06,NULL,NULL,1.8,NULL,1.04,1
516,ข้าวผัดสับปะรด,1552,"ข้าวผัดทั่วไป, ไม่ระบุ",160,NULL,4.56,63.7,4.14,1.5,0.48,15,335,24.26,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.06,NULL,NULL,1.8,NULL,1.04,1
516,ข้าวผัดสับปะรด,1553,ข้าวผัดผัก,178,NULL,3.6,59.8,5.1,1.3,0.4,7,268,28.5,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.14,NULL,NULL,1.7,NULL,2.2,1
526,ข้าวผัดหมู,1554,ข้าวผัดหมู,NULL,144,5.75,70.3,6.34,1.68,0.57,87,141,NULL,NULL,NULL,NULL,1.6,NULL,NULL,0.21,NULL,15.9,NULL,91,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,NULL,NULL,NULL,1
95,ข้าวมันไก่,1555,"ข้าวมัน, ไก่ต้ม",198,NULL,6.75,60,9.25,1.28,1.2,122,NULL,21.25,NULL,NULL,NULL,1,1.41,NULL,0.03,NULL,NULL,NULL,NULL,0.02,0.58,NULL,NULL,NULL,NULL,59,NULL,1.3,NULL,2,NULL,0.6,0.04,NULL,NULL,1.5,NULL,NULL,1
96,ข้าวมันไก่ทอด,1556,"ข้าวมัน, ไก่ทอด",235,NULL,8.6,47.7,7.2,1.4,0.6,14,330,32.9,NULL,NULL,16,2.11,NULL,NULL,0.07,0.1,NULL,NULL,130,NULL,NULL,4,NULL,NULL,NULL,84,4,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,2.2,0.4,NULL,1
97,ข้าวยำปักษ์ใต้,1558,ข้าวยำปักษ์ใต้,133,NULL,3.8,68.4,3.5,2.3,1.3,69,474,20.95,NULL,NULL,NULL,1,NULL,NULL,0.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,NULL,NULL,2,NULL,NULL,NULL,0.01,NULL,NULL,1.1,NULL,NULL,1
101,ข้าวหน้าเป็ด,1564,ข้าวหน้าเป็ดย่าง,129,NULL,5.2,68.7,4.2,1.4,0.6,18,320,16.7,NULL,NULL,16,1.06,NULL,NULL,0.11,0.1,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,NULL,0.13,NULL,NULL,1.9,0.6,NULL,1
102,ข้าวหมกไก่,1565,"ข้าวหมก, ไก่",183,NULL,7.3,60.3,6.03,1.03,NULL,282,221,24.39,NULL,NULL,NULL,2.3,1.54,NULL,0.01,NULL,NULL,NULL,105,0.17,1.91,24,NULL,NULL,NULL,69,24,2.19,NULL,14,NULL,2.08,0.09,NULL,NULL,1,NULL,0.25,1
103,ข้าวหมาก,183,"บะหมี่กึ่งสำเร็จรูป, ไม่รวมเครื่องปรุง",363,NULL,6.66,7.4,5.71,8.47,0.99,16,2,70.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.2,NULL,8.41,1
661,ข้าวหมูกระเทียม,1548,ข้าวกล้อง-หมูกระเทียม,141,NULL,9.07,66.1,3.17,1.1,0.55,20,165,17.67,402,NULL,NULL,NULL,0.78,NULL,0.02,NULL,NULL,NULL,NULL,0.07,0.77,82,NULL,NULL,NULL,NULL,116,0.88,NULL,12,NULL,0.84,0.32,NULL,NULL,2.9,NULL,0.3,1
105,ข้าวหมูทอด,1568,ข้าวหมูทอด,144,NULL,7.74,67.4,3.2,0.57,NULL,NULL,222,21.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,208,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
106,ข้าวหมูแดง,1567,ข้าวหมูแดง,154,NULL,6.29,65.5,4.18,1.19,0.2,352,284,22.72,NULL,NULL,NULL,1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,0.2,NULL,NULL,0.2,NULL,NULL,1
109,ข้าวเกรียบ,1188,ข้าวเกรียบปลา,507,NULL,10.28,1.5,25.96,3.3,1.8,232,779,56.93,NULL,NULL,NULL,NULL,10.31,NULL,NULL,NULL,NULL,NULL,NULL,0.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.67,NULL,28,NULL,2.7,NULL,NULL,NULL,2.1,NULL,0.4,1
109,ข้าวเกรียบ,1932,"ข้าวเกรียบกุ้ง, ทอด",485,NULL,6.85,0.9,21.34,3.82,1.85,73,760,65.49,NULL,NULL,NULL,NULL,NULL,NULL,0.05,NULL,NULL,NULL,154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,1.6,NULL,2.44,1
110,ข้าวเกรียบปากหม้อไส้หมู,1670,ข้าวเกรียบปากหม้อไส้หมู,NULL,107,2.17,77.6,3.83,0.53,0.63,9,102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.14,NULL,NULL,NULL,NULL,5.37,1
113,ข้าวเหนียวนึ่ง,149,"ข้าวเหนียว, นึ่ง",232,NULL,4.54,41.9,0.21,0.19,1.04,3,13,52.91,NULL,NULL,7,2.35,0.05,NULL,0.1,0.09,NULL,NULL,13,NULL,0.07,NULL,NULL,NULL,NULL,12,NULL,0.05,NULL,NULL,NULL,0.07,0.07,NULL,NULL,0.3,1.08,NULL,1
114,ข้าวเหนียวปิ้ง,1685,"ข้าวเหนียวปิ้ง, ไส้กล้วย",232,NULL,2.8,43.5,2.9,1.4,NULL,NULL,210,47.83,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.6,NULL,4.8,1
114,ข้าวเหนียวปิ้ง,1686,"ข้าวเหนียวปิ้ง, ไส้เผือก",NULL,250,2.8,41.9,4.55,1.45,0.6,15,224,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.45,1
114,ข้าวเหนียวปิ้ง,1687,"ข้าวเหนียวปิ้ง, ไส้มัน",NULL,252,2.45,41.2,4.25,1.2,NULL,14,216,NULL,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.35,1
608,ข้าวแกงกะหรี่,1453,"แกงกะหรี่, เนื้อ",NULL,173,15.2,63.6,7.95,3.05,2,NULL,552,NULL,NULL,NULL,NULL,NULL,2.3,NULL,NULL,NULL,10.25,NULL,NULL,0.12,0.81,NULL,NULL,NULL,NULL,NULL,NULL,4.33,NULL,38,NULL,0.94,NULL,NULL,NULL,NULL,NULL,NULL,1
608,ข้าวแกงกะหรี่,1450,"แกงกะหรี่, กุ้ง",137,NULL,5.29,76.2,10.31,2.12,1.24,25,404,5.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.51,NULL,29,NULL,NULL,NULL,NULL,NULL,0.8,NULL,3.52,1
608,ข้าวแกงกะหรี่,1452,"แกงกะหรี่, ไก่",138,NULL,8.69,72.2,7.95,2.54,1.03,16,552,7.38,NULL,NULL,NULL,NULL,NULL,NULL,0.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,1.2,NULL,4.75,1
608,ข้าวแกงกะหรี่,1451,"แกงกะหรี่, ไก่",117,NULL,9.25,75,5.65,2.11,0.84,NULL,368,6.5,NULL,NULL,NULL,NULL,1.81,NULL,NULL,NULL,NULL,NULL,381,0.15,1.08,NULL,NULL,NULL,NULL,NULL,NULL,2.14,NULL,47,NULL,1.24,NULL,NULL,NULL,1.5,NULL,5.33,1
572,ข้าวโพด,2191,ข้าวโพดเหลืองต้ม,116.5,NULL,4.3,NULL,3.3,NULL,NULL,NULL,NULL,17.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.3,NULL,NULL,2
116,ข้าวโพดเหลืองต้ม,144,"ข้าวโพดหวาน, เมล็ดสีเหลือง, ต้ม",107,NULL,2.8,77.4,5.3,0.74,0.76,7,37,10.45,67,NULL,26,2.21,1.64,NULL,0.04,NULL,NULL,NULL,254,0.14,2.31,NULL,NULL,NULL,NULL,53,6,0.76,2,NULL,NULL,2.46,0.09,NULL,NULL,3.3,0.79,6.83,1
120,คอหมูย่าง,950,"หมู, คอ, ย่าง",284,NULL,35.9,44.5,14,2,1.4,8,150,3.6,NULL,NULL,NULL,5.6,5.31,NULL,0.42,0.2,NULL,NULL,610,NULL,NULL,NULL,NULL,NULL,NULL,340,NULL,6.28,NULL,77,NULL,0.19,0.68,NULL,NULL,NULL,1.5,NULL,1
627,คะน้าน้ำมันหอย,494,ผักคะน้าฮ่องกง,27,NULL,2.2,91.3,0.5,1.4,0.5,73,90,2.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.2,NULL,NULL,1
351,คากิต้มพะโล้,1518,"หมู, เท้า(คากิ), ต้มพะโล้",276,NULL,25.8,47.4,15.4,2.7,1.33,213,456,8.67,NULL,NULL,NULL,NULL,7.57,NULL,NULL,0.08,NULL,NULL,NULL,0.24,2.36,NULL,NULL,NULL,NULL,NULL,NULL,4.47,NULL,96,NULL,2.74,NULL,NULL,NULL,NULL,NULL,NULL,1
122,คุกกี้ช็อคโกแลต,1747,"คุกกี้, สิงคโปร์",502,NULL,6.91,4,25.77,1.5,1.4,14,288,59.4,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.52,NULL,NULL,NULL,NULL,0.19,NULL,NULL,2.4,NULL,17.95,1
123,คุกกี้สิงคโปร์,1747,"คุกกี้, สิงคโปร์",502,NULL,6.91,4,25.77,1.5,1.4,14,288,59.4,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.52,NULL,NULL,NULL,NULL,0.19,NULL,NULL,2.4,NULL,17.95,1
124,คุกกี้เนยสด,1746,"คุ้กกี้, รสเนย",524,NULL,7.84,1.4,27.9,1.18,0.81,25,305,59.15,NULL,NULL,NULL,10.32,8.03,NULL,0.42,NULL,NULL,100,NULL,0.1,0.1,NULL,NULL,NULL,NULL,NULL,175,16.38,23,NULL,NULL,1.33,0.42,NULL,NULL,2.5,NULL,25.06,1
766,ชมพู่,2079,ชมพู่,28.79,NULL,0.5,NULL,0.02,NULL,NULL,NULL,35.195,6.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.94,NULL,6.19,2
127,ชานม,1404,"ชานม, ต่อ 100 มล.",40,NULL,1.68,96.2,1.1,0.45,NULL,NULL,NULL,5.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.051,NULL,NULL,NULL,NULL,NULL,NULL,3.5,1
131,ซาลาเปาไส้หมูสับ,1689,"ซาลาเปา, ไส้หมูสับ",139,NULL,3.75,70.2,5,0.65,0.6,16,58,19.25,6,NULL,NULL,NULL,1.86,NULL,0.02,NULL,NULL,NULL,NULL,0.06,0.73,NULL,NULL,NULL,NULL,NULL,NULL,2.12,NULL,NULL,NULL,0.81,0.08,NULL,NULL,1.2,NULL,NULL,1
133,ซาหริ่ม,1626,ซาหริ่ม,160,NULL,0.2,65,4.5,0.1,NULL,7,NULL,29.01,NULL,NULL,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,1.2,NULL,NULL,1
599,ซี่โครงหมูต้ม,952,"หมู, ซี่โครง, ต้ม",276,NULL,25.8,53.9,18.8,0.6,1.3,6,73,0.9,NULL,NULL,NULL,0.3,7.58,NULL,0.35,0.1,NULL,NULL,130,NULL,NULL,NULL,NULL,NULL,NULL,150,NULL,7.9,NULL,65,NULL,0.21,0.39,NULL,NULL,NULL,1.5,NULL,1
524,ซุปข้าวโพด,260,"ซุปกึ่งสำเร็จรูป, รสต่างๆ",NULL,392,8.63,3.7,15.1,17.27,0.73,119,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.26,NULL,55.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.87,NULL,NULL,NULL,NULL,11.6,1
134,ซุปฟัก,1483,ซุปฟัก,10,NULL,2.5,97.2,NULL,1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
135,ซุปมะเขือ,1484,ซุปมะเขือ,63,NULL,7.6,83.9,2.1,1.7,1.2,43,307,1.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,218,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.8,NULL,NULL,1
136,ซุปหน่อไม้,1485,ซุปหน่อไม้,NULL,33,2.8,89.7,0.53,2.64,1.3,207,NULL,NULL,NULL,NULL,NULL,0.65,NULL,NULL,0.2,NULL,4.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
137,ซุปหางวัว,1486,ซุปหางวัว,NULL,85,8.43,81.4,3.6,1.87,0.93,NULL,379,NULL,NULL,NULL,NULL,NULL,1.36,NULL,NULL,NULL,4.7,NULL,NULL,0.02,0.07,NULL,NULL,NULL,NULL,NULL,NULL,1.97,NULL,32,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,1
432,ซุปไก่,1460,แกงซุปไก่,41,NULL,6.47,88.7,0.7,1.53,NULL,NULL,291,1.67,NULL,NULL,NULL,NULL,0.23,NULL,NULL,NULL,NULL,NULL,232,0.03,0.24,NULL,NULL,NULL,NULL,NULL,NULL,0.18,NULL,16,NULL,0.27,NULL,NULL,NULL,0.9,NULL,0.85,1
148,ต้มข่าไก่,1489,ต้มข่าไก่,92,NULL,7.8,82.5,5.89,1.57,0.7,10,244,1.42,NULL,NULL,NULL,NULL,1.27,NULL,NULL,NULL,NULL,NULL,300,0.03,1.19,NULL,NULL,NULL,NULL,NULL,NULL,3.39,NULL,16,NULL,1.22,NULL,NULL,NULL,0.9,NULL,0.57,1
613,ต้มยำกุ้ง,1491,"ต้มยำ, กุ้ง",44,NULL,4.67,87.7,1.43,2.64,0.42,45,521,2.86,46,NULL,20,NULL,NULL,NULL,NULL,0.21,NULL,NULL,152,NULL,NULL,15,NULL,NULL,NULL,75,19,0.55,1,42,NULL,NULL,NULL,NULL,NULL,0.7,0.73,2.08,1
150,ต้มยำไก่,1492,"ต้มยำ, ไก่",41,NULL,8.2,88,0.37,1.67,NULL,NULL,230,0.5,NULL,NULL,NULL,NULL,0.12,NULL,NULL,NULL,NULL,NULL,279,0.02,0.09,NULL,NULL,NULL,NULL,NULL,NULL,0.12,NULL,18,NULL,0.1,NULL,NULL,NULL,1.3,NULL,0.57,1
141,ตะขบ,722,ตะขบป่า,81,NULL,2.3,76,0.3,1,1.15,108,13,14.1,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,773,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL,NULL,156,NULL,NULL,NULL,NULL,NULL,NULL,6.3,0.51,11,1
142,ตะโก้,1627,ตะโก้แห้ว,132,NULL,0.7,71.6,5.7,0.8,NULL,5,NULL,18.2,11,NULL,NULL,0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,1
145,ตั๊กแตนทอด,1767,ตั๊กแตนทอด,NULL,609,32.93,4.2,46.17,1.4,3.8,22,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
349,ตับหมูทอด,956,"หมู, ตับ, ทอด",268,NULL,33.2,47,13,2.2,14.7,8,120,4.6,NULL,NULL,NULL,16,3.32,NULL,4.01,9.2,NULL,NULL,350,NULL,NULL,30,NULL,NULL,NULL,370,30,5.72,NULL,290,NULL,0.59,0.36,NULL,NULL,NULL,2.3,NULL,1
277,ตำทะเล,1514,"ส้มตำ, ปู-กุ้ง",NULL,85,3.7,77.8,2.1,3.6,NULL,71,NULL,NULL,NULL,NULL,NULL,1.8,NULL,NULL,0.75,NULL,12.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,NULL,3,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,1
336,ตำไทย,1513,"ส้มตำ, ไทย",105,NULL,4.29,72.1,2.65,3.34,2.14,54,627,14.34,75,NULL,41,NULL,NULL,NULL,NULL,0.12,NULL,NULL,227,NULL,NULL,11,NULL,NULL,NULL,68,17,0.6,7,18,NULL,NULL,NULL,NULL,NULL,3.3,0.58,NULL,1
153,ถั่วปากอ้าทอด,1691,"ถั่วปากอ้า, ทอด, คลุกเกลือ, เอาเปลือกออก, จากตลาด",467,NULL,28.18,2,21.61,3.43,6.73,55,359,35.2,NULL,NULL,76,1.78,7.95,NULL,0.1,NULL,NULL,NULL,963,0.05,2.64,NULL,NULL,NULL,NULL,NULL,NULL,9.9,NULL,NULL,NULL,2.68,0.21,NULL,NULL,9.6,4.43,1.09,1
153,ถั่วปากอ้าทอด,1692,"ถั่วปากอ้า, ทอด, อบเกลือ, บรรจุซอง",489,NULL,22.61,3.1,27.09,3.02,2.87,39,468,32.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.23,NULL,NULL,11.3,NULL,1.03,1
154,ถั่วลันเตาเคลือบอบกรอบ,1693,"ถั่วลันเตา, เคลือบ, อบกรอบ, รสต่างๆ",441,NULL,15.93,2.4,17.23,4.17,4.45,46,466,50.77,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.54,NULL,NULL,9.5,NULL,6.27,1
